id,Street,City and Zip,Full address,Latitude,Longitude,key_id
444,131 St Johns Ct ,"Satsuma, FL, 32189","131 St Johns Ct ,Satsuma, FL, 32189",29.576105,-81.678363,444
445,174 Moonlite Dr,"Welaka, FL, 32193","174 Moonlite Dr,Welaka, FL, 32193",29.491472,-81.681436,445
446,118 Beechers Point Dr,"Welaka, FL, 32193","118 Beechers Point Dr,Welaka, FL, 32193",29.468745,-81.680726,446
447,230 Sportsman Dr,"Welaka, FL, 32193","230 Sportsman Dr,Welaka, FL, 32193",29.489933,-81.68072,447
448,123 River Bend Pl Bldg E,"Welaka, FL, 32193","123 River Bend Pl Bldg E,Welaka, FL, 32193",29.465356,-81.684907,448
449,204 River Bend Ct Bldg A,"Welaka, FL, 32193","204 River Bend Ct Bldg A,Welaka, FL, 32193",29.466006,-81.684754,449
450,109 RIver Bend Pl Bldg B,"Welaka, FL, 32193","109 RIver Bend Pl Bldg B,Welaka, FL, 32193",29.465891,-81.684479,450
451,703 Front St,"Welaka, FL, 32193","703 Front St,Welaka, FL, 32193",29.478044,-81.67443,451
452,153 Buchanan Cir,"Satsuma, FL, 32189","153 Buchanan Cir,Satsuma, FL, 32189",29.574885,-81.678533,452
453,22 Scott St,"Welaka, FL, 32193","22 Scott St,Welaka, FL, 32193",29.489939,-81.676794,453
454,269 Hermits Dr,"Satsuma, FL, 32189","269 Hermits Dr,Satsuma, FL, 32189",29.580175,-81.677882,454
455,168 Beechers Point Dr,"Welaka, FL, 32193","168 Beechers Point Dr,Welaka, FL, 32193",29.467092,-81.684725,455
456,123 W Palm Ave,"Crescent City, FL, 32112","123 W Palm Ave,Crescent City, FL, 32112",29.417039,-81.646832,456
457,104 Sonata Ct,"Satsuma, FL, 32189","104 Sonata Ct,Satsuma, FL, 32189",29.508894,-81.676894,457
458,102 Cameilla Dr,"Satsuma, FL, 32189","102 Cameilla Dr,Satsuma, FL, 32189",29.580597,-81.67585,458
459,1074 Front St Lot 33,"Welaka, FL, 32193","1074 Front St Lot 33,Welaka, FL, 32193",29.466119,-81.672716,459
460,113 Teronda Rd,"Welaka, FL, 32193","113 Teronda Rd,Welaka, FL, 32193",29.465508,-81.675045,460
461,201 RIver Bend Ct Bldg A,"Welaka, FL, 32193","201 RIver Bend Ct Bldg A,Welaka, FL, 32193",29.466047,-81.684939,461
462,222 Sportsman Dr,"Welaka, FL, 32193","222 Sportsman Dr,Welaka, FL, 32193",29.490445,-81.68189,462
463,265 Hermits Dr,"Satsuma, FL, 32189","265 Hermits Dr,Satsuma, FL, 32189",29.57997,-81.677473,463
464,232 River Bend Pl Bldg E,"Welaka, FL, 32193","232 River Bend Pl Bldg E,Welaka, FL, 32193",29.465051,-81.684464,464
465,103 William Bartram Dr ,"Crescent City, FL, 32112","103 William Bartram Dr ,Crescent City, FL, 32112",29.431629,-81.649969,465
466,280 Cove Dr,"Satsuma, FL, 32189","280 Cove Dr,Satsuma, FL, 32189",29.579279,-81.674443,466
467,101 River Bend Ct Bldg A,"Welaka, FL, 32193","101 River Bend Ct Bldg A,Welaka, FL, 32193",29.466115,-81.684933,467
468,122 Beechers Point Dr,"Welaka, FL, 32193","122 Beechers Point Dr,Welaka, FL, 32193",29.468736,-81.681054,468
469,228 Sportsman Dr,"Welaka, FL, 32193","228 Sportsman Dr,Welaka, FL, 32193",29.49004,-81.681023,469
470,235 River Bend Pl Bldg E,"Welaka, FL, 32193","235 River Bend Pl Bldg E,Welaka, FL, 32193",29.465057,-81.684302,470
471,135 Beechers Point Dr,"Welaka, FL, 32193","135 Beechers Point Dr,Welaka, FL, 32193",29.467801,-81.681956,471
472,103 River Bend Ct Bldg A,"Welaka, FL, 32193","103 River Bend Ct Bldg A,Welaka, FL, 32193",29.466079,-81.68481,472
473,460 Cove Dr,"Satsuma, FL, 32189","460 Cove Dr,Satsuma, FL, 32189",29.576064,-81.677131,473
474,207 River Bend Ct Bldg A,"Welaka, FL, 32193","207 River Bend Ct Bldg A,Welaka, FL, 32193",29.465981,-81.684599,474
475,132 Beechers Point Dr,"Welaka, FL, 32193","132 Beechers Point Dr,Welaka, FL, 32193",29.468271,-81.681875,475
476,1074 Front St Lot 20,"Welaka, FL, 32193","1074 Front St Lot 20,Welaka, FL, 32193",29.466119,-81.672716,476
477,219 RIver Bend Pl Bldg C,"Welaka, FL, 32193","219 RIver Bend Pl Bldg C,Welaka, FL, 32193",29.46547,-81.684943,477
478,131 River Rd,"Satsuma, FL, 32189","131 River Rd,Satsuma, FL, 32189",29.529224,-81.682718,478
479,109 Teronda Rd,"Welaka, FL, 32193","109 Teronda Rd,Welaka, FL, 32193",29.465046,-81.674799,479
480,1074 Front St Lot 30,"Welaka, FL, 32193","1074 Front St Lot 30,Welaka, FL, 32193",29.466119,-81.672716,480
481,101 Beechers Point Dr,"Welaka, FL, 32193","101 Beechers Point Dr,Welaka, FL, 32193",29.468208,-81.678052,481
482,57 Carefree Dr,"Welaka, FL, 32193","57 Carefree Dr,Welaka, FL, 32193",29.490171,-81.678085,482
483,221 Sportsman Dr,"Welaka, FL, 32193","221 Sportsman Dr,Welaka, FL, 32193",29.490499,-81.682002,483
484,240 Sportsman Dr,"Welaka, FL, 32193","240 Sportsman Dr,Welaka, FL, 32193",29.489817,-81.679127,484
485,147 Buchanan Cir,"Satsuma, FL, 32189","147 Buchanan Cir,Satsuma, FL, 32189",29.574556,-81.679154,485
486,135 Buchanan Cir,"Satsuma, FL, 32189","135 Buchanan Cir,Satsuma, FL, 32189",29.573375,-81.67877,486
487,231 Sportsman Dr,"Welaka, FL, 32193","231 Sportsman Dr,Welaka, FL, 32193",29.489994,-81.680532,487
488,210 River Bend Pl Bldg B,"Welaka, FL, 32193","210 River Bend Pl Bldg B,Welaka, FL, 32193",29.465808,-81.684444,488
489,204 Cove Dr,"Satsuma, FL, 32189","204 Cove Dr,Satsuma, FL, 32189",29.579669,-81.673969,489
490,118 RIver Bend Pl Bldg C,"Welaka, FL, 32193","118 RIver Bend Pl Bldg C,Welaka, FL, 32193",29.465573,-81.684906,490
491,54 Sportsman Dr,"Welaka, FL, 32193","54 Sportsman Dr,Welaka, FL, 32193",29.489934,-81.678022,491
492,238 Sportsman Dr,"Welaka, FL, 32193","238 Sportsman Dr,Welaka, FL, 32193",29.489806,-81.679473,492
493,241 Whitney Dr,"Satsuma, FL, 32189","241 Whitney Dr,Satsuma, FL, 32189",29.537975,-81.692914,493
494,229 RIver Bend Pl Bldg E,"Welaka, FL, 32193","229 RIver Bend Pl Bldg E,Welaka, FL, 32193",29.465047,-81.684655,494
495,110 River Bend Pl Bldg B,"Welaka, FL, 32193","110 River Bend Pl Bldg B,Welaka, FL, 32193",29.465844,-81.684511,495
496,202 River Bend Ct Bldg A,"Welaka, FL, 32193","202 River Bend Ct Bldg A,Welaka, FL, 32193",29.466042,-81.684877,496
497,220 River Bend Pl Bldg C,"Welaka, FL, 32193","220 River Bend Pl Bldg C,Welaka, FL, 32193",29.465462,-81.684992,497
498,1074 Front St Lot 34 ,"Welaka, FL, 32193","1074 Front St Lot 34 ,Welaka, FL, 32193",29.466119,-81.672716,498
499,58 Carefree Dr,"Welaka, FL, 32193","58 Carefree Dr,Welaka, FL, 32193",29.490308,-81.677984,499
500,83 Carefree Dr,"Welaka, FL, 32193","83 Carefree Dr,Welaka, FL, 32193",29.490223,-81.678488,500
501,45 Scott St,"Welaka, FL, 32193","45 Scott St,Welaka, FL, 32193",29.489909,-81.677292,501
502,235 Sportsman Dr,"Welaka, FL, 32193","235 Sportsman Dr,Welaka, FL, 32193",29.489962,-81.679905,502
503,242 Sportsman Dr,"Welaka, FL, 32193","242 Sportsman Dr,Welaka, FL, 32193",29.489697,-81.678754,503
504,125 River Bend Pl Bldg D,"Welaka, FL, 32193","125 River Bend Pl Bldg D,Welaka, FL, 32193",29.465273,-81.684806,504
505,15 Hockey Dr,"Welaka, FL, 32193","15 Hockey Dr,Welaka, FL, 32193",29.489436,-81.675914,505
506,246 Sportsman Dr,"Welaka, FL, 32193","246 Sportsman Dr,Welaka, FL, 32193",29.489542,-81.678216,506
507,44 Scott St,"Welaka, FL, 32193","44 Scott St,Welaka, FL, 32193",29.490113,-81.677271,507
508,221 River Bend Pl Bldg B,"Welaka, FL, 32193","221 River Bend Pl Bldg B,Welaka, FL, 32193",29.465446,-81.685037,508
509,146 Beechers Point Dr,"Welaka, FL, 32193","146 Beechers Point Dr,Welaka, FL, 32193",29.46771,-81.683243,509
510,215 River Bend Pl Bldg C,"Welaka, FL, 32193","215 River Bend Pl Bldg C,Welaka, FL, 32193",29.465562,-81.684712,510
511,226 RIver Bend Pl Bldg D,"Welaka, FL, 32193","226 RIver Bend Pl Bldg D,Welaka, FL, 32193",29.465217,-81.684858,511
512,439 Cove Dr,"Satsuma, FL, 32189","439 Cove Dr,Satsuma, FL, 32189",29.577844,-81.676748,512
513,221 River Bend Pl Bldg C,"Welaka, FL, 32193","221 River Bend Pl Bldg C,Welaka, FL, 32193",29.465454,-81.685042,513
514,123 Teronda Rd,"Welaka, FL, 32193","123 Teronda Rd,Welaka, FL, 32193",29.465717,-81.676561,514
515,21 Scott St,"Welaka, FL, 32193","21 Scott St,Welaka, FL, 32193",29.489807,-81.67671,515
516,224 Sportsman Dr,"Welaka, FL, 32193","224 Sportsman Dr,Welaka, FL, 32193",29.490279,-81.681601,516
517,12 Hockey Dr,"Welaka, FL, 32193","12 Hockey Dr,Welaka, FL, 32193",29.489868,-81.675897,517
518,220 Sportsman Dr,"Welaka, FL, 32193","220 Sportsman Dr,Welaka, FL, 32193",29.490565,-81.682134,518
519,122 River Bend Pl Bldg C,"Welaka, FL, 32193","122 River Bend Pl Bldg C,Welaka, FL, 32193",29.465518,-81.685081,519
520,234 RIver Bend Pl Bldg E,"Welaka, FL, 32193","234 RIver Bend Pl Bldg E,Welaka, FL, 32193",29.465064,-81.684353,520
521,214 River Bend Pl Bldg B,"Welaka, FL, 32193","214 River Bend Pl Bldg B,Welaka, FL, 32193",29.465639,-81.684525,521
522,140 Beechers Point Dr,"Welaka, FL, 32193","140 Beechers Point Dr,Welaka, FL, 32193",29.468001,-81.682536,522
523,104 Beechers Point Dr,"Welaka, FL, 32193","104 Beechers Point Dr,Welaka, FL, 32193",29.469213,-81.679712,523
524,228 River Bend Pl Bldg D,"Welaka, FL, 32193","228 River Bend Pl Bldg D,Welaka, FL, 32193",29.465143,-81.684803,524
525,119 W Palm Ave,"Crescent City, FL, 32112","119 W Palm Ave,Crescent City, FL, 32112",29.416808,-81.646354,525
526,145 Buchanan Cir,"Satsuma, FL, 32189","145 Buchanan Cir,Satsuma, FL, 32189",29.574363,-81.679116,526
527,231 RIver Bend Pl Bldg E,"Welaka, FL, 32193","231 RIver Bend Pl Bldg E,Welaka, FL, 32193",29.465059,-81.684526,527
528,236 Sportsman Dr,"Welaka, FL, 32193","236 Sportsman Dr,Welaka, FL, 32193",29.489872,-81.679646,528
529,115 Happiness Dr,"Welaka, FL, 32193","115 Happiness Dr,Welaka, FL, 32193",29.490391,-81.679675,529
530,110 Beechers Point Dr,"Welaka, FL, 32193","110 Beechers Point Dr,Welaka, FL, 32193",29.468867,-81.679882,530
531,147 Hicks Ave,"Crescent City, FL, 32112","147 Hicks Ave,Crescent City, FL, 32112",29.417238,-81.64977,531
532,217 River Bend Pl Bldg C,"Welaka, FL, 32193","217 River Bend Pl Bldg C,Welaka, FL, 32193",29.465515,-81.684831,532
